
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
                  imie               nazwisko plec  polskie_znaki  wieloczlonowe_imie  wieloczlonowe_nazwisko
               Andrzej               Adamczyk    m          False               False                   False
                 Piotr              Adamowicz    m          False               False                   False
                  Adam         Andruszkiewicz    m          False               False                   False
              Waldemar                 Andzel    m          False               False                   False
                Dorota Arciszewska-Mielewczyk    k          False               False                    True
         Jan Krzysztof             Ardanowski    m          False                True                   False
             Iwona Ewa                  Arent    k          False                True                   False
               Bartosz             Arłukowicz    m           True               False                   False
                 Marek                    Ast    m          False               False                   False
               Urszula               Augustyn    k          False               False                   False
                 Piotr               Babinetz    m          False               False                   False
                  Anna                 Baluch    k          False               False                   False
               Ryszard               Bartosik    m          False               False                   False
             Władysław           Bartoszewski    m          False               False                   False
               Barbara                 Bartuś    k           True               False                   False
                 Paweł                  Bejda    m          False               False                   False
                Konrad              Berkowicz    m          False               False                   False
                Sylwia              Bielawska    k          False               False                   False
                 Marek              Biernacki    m          False               False                   False
                 Paweł               Bliźniuk    m           True               False                   False
               Mariusz              Błaszczak    m           True               False                   False
               Mateusz               Bochenek    m          False               False                   False
                 Rafał               Bochenek    m          False               False                   False
               Izabela                 Bodnar    k          False               False                   False
                 Jacek                Bogucki    m          False               False                   False
              Zbigniew                Bogucki    m          False               False                   False
             Krzysztof               Bojarski    m          False               False                   False
                Joanna               Borowiak    k          False               False                   False
                 Kamil             Bortniczuk    m          False               False                   False
                 Piotr                  Borys    m          False               False                   False
                Bożena            Borys-Szopa    k          False               False                    True
                Marcin                Bosacki    m          False               False                   False
           Karina Anna                  Bosak    k          False                True                   False
             Krzysztof                  Bosak    m          False               False                   False
              Grzegorz                  Braun    m          False               False                   False
             Krzysztof                 Brejza    m          False               False                   False
             Agnieszka              Buczyńska    k           True               False                   False
              Waldemar                   Buda    m          False               False                   False
                 Borys                  Budka    m          False               False                   False
              Elżbieta             Burkiewicz    k          False               False                   False
                 Lidia              Burzyńska    k           True               False                   False
             Marek Jan            Chmielewski    m          False                True                   False
              Zbigniew            Chmielowiec    m          False               False                   False
                 Artur               Chojecki    m          False               False                   False
    Kazimierz Bogusław                  Choma    m          False                True                   False
              Dominika            Chorosińska    k           True               False                   False
               Tadeusz                 Chrzan    m          False               False                   False
                Alicja               Chybicka    k          False               False                   False
              Anna Ewa              Cicholska    k          False                True                   False
                Janusz                 Cichoń    m           True               False                   False
             Krzysztof               Ciecióra    m           True               False                   False
                Janusz             Cieszyński    m           True               False                   False
                Michał                Cieślak    m           True               False                   False
                Żaneta      Cwalina-Śliwowska    k           True               False                    True
             Krzysztof              Czarnecki    m          False               False                   False
       Witold Wojciech              Czarnecki    m          False                True                   False
            Przemysław                Czarnek    m          False               False                   False
             Arkadiusz            Czartoryski    m          False               False                   False
           Włodzimierz              Czarzasty    m          False               False                   False
                 Lidia                Czechak    k          False               False                   False
                 Jacek               Czerniak    m          False               False                   False
                 Zofia                Czernow    k          False               False                   False
                 Anita             Czerwińska    k           True               False                   False
             Katarzyna               Czochara    k          False               False                   False
              Sławomir                   Ćwik    m           True               False                   False
             Władysław                Dajczak    m          False               False                   False
